Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/137-Manchester-Dr-Mount-Kisco-NY-10549/33106020_zpid/","","500000","04/17/2024","1759","sqft","284.25","6887","sqft","4","2","137 Manchester Drive","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/123-Stanwood-Rd-Bedford-Corners-NY-10549/33008377_zpid/","","475000","04/16/2024","1940","sqft","244.85","9906","sqft","3","2","123 Stanwood Rd","Bedford Corners","10549","NY","USA"
"https://www.zillow.com/homedetails/30-Carlton-Dr-Mount-Kisco-NY-10549/33106853_zpid/","","1300000","04/11/2024","4841","sqft","268.54","0.4","acres","4","3","30 Carlton Drive","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/9-Cold-Spring-Ct-Mount-Kisco-NY-10549/33106851_zpid/","","1262500","04/10/2024","4255","sqft","296.71","0.42","acres","4","4","9 Cold Spring Court","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/113-Foxwood-Cir-Mount-Kisco-NY-10549/299055947_zpid/","","440000","04/10/2024","","","","","","","","113 Foxwood Cir","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/50-Barker-St-APT-327-Mount-Kisco-NY-10549/2056673625_zpid/","","139000","04/10/2024","750","sqft","185.33","","","1","1","50 Barker Street UNIT 327","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/70-Barker-St-APT-311-Mount-Kisco-NY-10549/2138859179_zpid/","","105000","04/10/2024","750","sqft","140","","","1","1","70 Barker Street UNIT 311","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/36-Laurelton-Rd-Mount-Kisco-NY-10549/33062241_zpid/","","720000","04/04/2024","1975","sqft","364.56","0.78","acres","3","2","36 Laurelton Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/52-Highland-Ave-Mount-Kisco-NY-10549/247839704_zpid/","","560000","04/04/2024","","","","6678","sqft","","","52 Highland Ave","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/100-Diplomat-Dr-APT-5A-Mount-Kisco-NY-10549/2054622473_zpid/","","124000","04/04/2024","750","sqft","165.33","","","1","1","100 Diplomat Drive UNIT 5A","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/25-Stewart-Pl-APT-617-Mount-Kisco-NY-10549/2060227842_zpid/","","180000","04/04/2024","1200","sqft","150","","","2","2","25 Stewart Place UNIT 617","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/100-Diplomat-Dr-APT-3M-Mount-Kisco-NY-10549/2054270579_zpid/","","270000","04/01/2024","1200","sqft","225","","","2","2","100 Diplomat Drive UNIT 3M","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/25-Courtmel-Rd-Mount-Kisco-NY-10549/33062714_zpid/","","999000","03/29/2024","2290","sqft","436.24","1","acres","4","3","25 Courtmel Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/52-Old-Town-Xing-Mount-Kisco-NY-10549/33062367_zpid/","","1100000","03/28/2024","1859","sqft","591.72","436","sqft","2","3","52 Old Town Crossing","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/114-Foxwood-Cir-Mount-Kisco-NY-10549/299055948_zpid/","","330000","03/28/2024","","","","","","","","114 Foxwood Cir","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/100-Diplomat-Dr-APT-4F-Mount-Kisco-NY-10549/2124363650_zpid/","","159000","03/28/2024","900","sqft","176.67","","","1","1","100 Diplomat UNIT 4F","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/20-Spencer-St-Mount-Kisco-NY-10549/33106604_zpid/","","400000","03/27/2024","1308","sqft","305.81","6098","sqft","3","1","20 Spencer St","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/7-Courtmel-Rd-Mount-Kisco-NY-10549/33062720_zpid/","","1149984","03/22/2024","2350","sqft","489.35","1.1","acres","4","3","7 Courtmel Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/52-Highland-Ave-Mount-Kisco-NY-10549/131603639_zpid/","","560000","03/22/2024","1235","sqft","453.44","6904","sqft","2","2","52 Highland Avenue","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/21-Lundy-Ln-Mount-Kisco-NY-10549/33106061_zpid/","","420000","03/21/2024","","","","10335","sqft","","","21 Lundy Ln","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/31-Leonard-St-Mount-Kisco-NY-10549/33106105_zpid/","","700000","03/21/2024","1496","sqft","467.91","7087","sqft","3","3","31 Leonard Street","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/114-Foxwood-Cir-UNIT-114-Mount-Kisco-NY-10549/2056665634_zpid/","","330000","03/21/2024","768","sqft","429.69","375","sqft","1","1","114 Foxwood Circle UNIT 114","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/118-McLain-St-Bedford-Corners-NY-10549/33010851_zpid/","","1850000","03/14/2024","11494","sqft","160.95","2.9","acres","8","10","118 Mclain Street","Bedford Corners","10549","NY","USA"
"https://www.zillow.com/homedetails/39-Kitchel-Rd-Mount-Kisco-NY-10549/33066049_zpid/","","1145000","03/12/2024","2059","sqft","556.1","1.14","acres","3","3","39 Kitchel Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/18-Old-Roaring-Brook-Rd-Mount-Kisco-NY-10549/299052625_zpid/","","2862500","03/12/2024","3672","sqft","779.55","5.53","acres","3","4","18 Old Roaring Brook Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/100-Woodcrest-Ln-APT-120-Mount-Kisco-NY-10549/2054369409_zpid/","","440000","03/08/2024","1085","sqft","405.53","383","sqft","2","2","100 Woodcrest Lane UNIT 120","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/61-Cliffside-Ln-Bedford-Corners-NY-10549/305946287_zpid/","","950000","03/05/2024","","","","2.29","acres","","","61 Cliffside Ln","Bedford Corners","10549","NY","USA"
"https://www.zillow.com/homedetails/105-Sutton-Dr-Mount-Kisco-NY-10549/299056161_zpid/","","350000","03/01/2024","","","","","","","","105 Sutton Dr","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/35-Stewart-Pl-APT-705-Mount-Kisco-NY-10549/2069523106_zpid/","","115000","03/01/2024","850","sqft","135.29","","","1","1","35 Stewart Place UNIT 705","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/1-Manchester-Dr-Mount-Kisco-NY-10549/33105672_zpid/","","550000","02/28/2024","1125","sqft","488.89","3484","sqft","2","2","1 Manchester Dr","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/61-Cliffside-Ln-Bedford-Corners-NY-10549/131473419_zpid/","","950000","02/27/2024","2200","sqft","431.82","2.29","acres","4","3","61 Cliffside Lane","Bedford corners","10549","NY","USA"
"https://www.zillow.com/homedetails/109-Foxwood-Cir-Mount-Kisco-NY-10549/299055942_zpid/","","411000","02/27/2024","1158","sqft","354.92","640","sqft","2","2","109 Foxwood Circle","Mount Kisco","10549","NY","USA"
