Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/346-Strawtown-Rd-New-City-NY-10956/53404015_zpid/","","Single Family","1254000","02/15/2024","5014","sqft","250.1","1.5","acres","6","5","346 Strawtown Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/127-Wayne-Ave-Suffern-NY-10901/53419988_zpid/","","Single Family","480000","02/15/2024","2208","sqft","217.39","0.29","acres","4","1","127 Wayne Avenue","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/4-Ribier-Ct-Monsey-NY-10952/53431864_zpid/","","Single Family","950000","02/15/2024","3896","sqft","243.84","0.81","acres","5","3","4 Ribier Ct","Monsey","10952","NY","USA"
"https://www.zillow.com/homedetails/136-140-Main-St-N-Spring-Valley-NY-10977/143864272_zpid/","","Single Family","975000","02/15/2024","1254","sqft","777.51","8276","sqft","","","136-140 Main St N","Spring Valley","10977","NY","USA"
