Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/27-Badger-St-New-City-NY-10956/53396577_zpid/","","Single Family","810000","05/02/2024","2600","sqft","311.54","0.49","acres","5","3","27 Badger Street","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/11-Charles-St-Nanuet-NY-10954/53408132_zpid/","","Single Family","650000","05/02/2024","1792","sqft","362.72","0.26","acres","4","3","11 Charles Street","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/1-Amanda-Ct-Airmont-NY-10952/53429933_zpid/","","Single Family","999999","05/02/2024","2494","sqft","400.96","0.8","acres","4","3","1 Amanda Ct","Airmont","10952","NY","USA"
"https://www.zillow.com/homedetails/23-Van-Houten-St-Nyack-NY-10960/53391474_zpid/","","Single Family","720000","05/01/2024","1144","sqft","629.37","3049","sqft","3","2","23 Van Houten Street","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/16-Smith-Rd-Nanuet-NY-10954/53408989_zpid/","","Single Family","700000","05/01/2024","1888","sqft","370.76","6970","sqft","5","2","16 Smith Road","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/45-Green-Rd-West-Nyack-NY-10994/53415769_zpid/","","Single Family","330000","05/01/2024","700","sqft","471.43","0.86","acres","1","1","45 Green Road","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/62-Convent-Rd-Nanuet-NY-10954/143832284_zpid/","","Single Family","750000","05/01/2024","3994","sqft","187.78","0.83","acres","4","3","62 Convent Road","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/115-River-Rd-Nyack-NY-10960/32384432_zpid/","","Single Family","900000","04/30/2024","1580","sqft","569.62","0.71","acres","3","2","115 River Road","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/44-S-Highland-Ave-Nyack-NY-10960/32384799_zpid/","","Single Family","350000","04/30/2024","1313","sqft","266.57","10019","sqft","2","2","44 S Highland Avenue","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/4-Treeline-Ter-Nyack-NY-10960/32392497_zpid/","","Single Family","1142500","04/30/2024","3230","sqft","353.72","1.21","acres","4","3","4 Treeline Terrace","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/1-Lauren-Rd-Palisades-NY-10964/32396235_zpid/","","Single Family","795000","04/30/2024","2396","sqft","331.8","0.29","acres","4","3","1 Lauren Road","Palisades","10964","NY","USA"
"https://www.zillow.com/homedetails/143-S-Route-303-Congers-NY-10920/53403864_zpid/","","Single Family","479000","04/30/2024","1892","sqft","253.17","8712","sqft","3","2","143 S Route 303","Congers","10920","NY","USA"
"https://www.zillow.com/homedetails/10-Grove-Ct-Bardonia-NY-10954/53410090_zpid/","","Single Family","835000","04/30/2024","2967","sqft","281.43","0.92","acres","4","3","10 Grove Court","Bardonia","10954","NY","USA"
"https://www.zillow.com/homedetails/29-Rela-Ave-Haverstraw-NY-10927/32378073_zpid/","","Single Family","489000","04/26/2024","1121","sqft","436.22","4792","sqft","3","2","29 Rela Avenue","Haverstraw","10927","NY","USA"
"https://www.zillow.com/homedetails/72-S-Magnolia-St-Pearl-River-NY-10965/32388997_zpid/","","Single Family","630000","04/26/2024","1450","sqft","434.48","0.44","acres","3","1","72 S Magnolia Street","Pearl River","10965","NY","USA"
