Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/10-Ramapo-Ave-Hillburn-NY-10931/53416869_zpid/","","Single Family","480000","04/18/2024","1493","sqft","321.5","10454","sqft","3","2","10 Ramapo Avenue","Hillburn","10931","NY","USA"
"https://www.zillow.com/homedetails/40-N-Southgate-Dr-Spring-Valley-NY-10977/53424484_zpid/","","Single Family","1100000","04/18/2024","1999","sqft","550.28","0.58","acres","4","3","40 N Southgate Drive","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/2-Belvedere-Path-Suffern-NY-10901/53427050_zpid/","","Single Family","860000","04/18/2024","2518","sqft","341.54","0.75","acres","4","3","2 Belvedere Path","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/4-Graniks-Way-Montebello-NY-10901/53427822_zpid/","","Single Family","1675000","04/18/2024","3733","sqft","448.7","1.06","acres","6","5","4 Graniks Way","Montebello","10901","NY","USA"
"https://www.zillow.com/homedetails/1-Augur-Rd-Airmont-NY-10901/53428759_zpid/","","Single Family","750000","04/18/2024","1176","sqft","637.76","0.66","acres","4","2","1 Augur Road","Airmont","10901","NY","USA"
"https://www.zillow.com/homedetails/1-Lenox-Ct-APT-1109-Suffern-NY-10901/2056628585_zpid/","","Single Family","184000","04/18/2024","1000","sqft","184","","","2","2","1 Lenox Ct #1109","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/31-Jacobs-Rd-Thiells-NY-10984/32383278_zpid/","","Single Family","625000","04/17/2024","1612","sqft","387.72","0.34","acres","3","2","31 Jacobs Road","Thiells","10984","NY","USA"
"https://www.zillow.com/homedetails/3-Carol-Ct-Pomona-NY-10970/32383787_zpid/","","Single Family","550000","04/17/2024","1416","sqft","388.42","8276","sqft","4","3","3 Carol Court","Pomona","10970","NY","USA"
"https://www.zillow.com/homedetails/1059-Route-9w-S-Nyack-NY-10960/32392475_zpid/","","Single Family","1200000","04/17/2024","3136","sqft","382.65","0.64","acres","5","5","1059 Route 9W S","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/261-Cottage-Rd-Valley-Cottage-NY-10989/53404918_zpid/","","Single Family","569000","04/17/2024","1378","sqft","412.92","10454","sqft","4","2","261 Cottage Road","Valley Cottage","10989","NY","USA"
"https://www.zillow.com/homedetails/27-Olin-Dr-Nanuet-NY-10954/53406261_zpid/","","Single Family","495000","04/17/2024","1404","sqft","352.56","0.34","acres","3","2","27 Olin Drive","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/31-Pittsford-Way-Nanuet-NY-10954/53414180_zpid/","","Single Family","700000","04/17/2024","2557","sqft","273.76","0.25","acres","4","3","31 Pittsford Way","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/5-Laura-Dr-Airmont-NY-10952/53429145_zpid/","","Single Family","935000","04/17/2024","1803","sqft","518.58","0.35","acres","4","3","5 Laura Drive","Airmont","10952","NY","USA"
"https://www.zillow.com/homedetails/15-Stander-Ln-Thiells-NY-10984/32383307_zpid/","","Single Family","620000","04/16/2024","1804","sqft","343.68","0.3","acres","4","2","15 Stander Lane","Thiells","10984","NY","USA"
"https://www.zillow.com/homedetails/6-Pyngyp-Rd-Stony-Pt-NY-10980/32397500_zpid/","","Single Family","830000","04/16/2024","3300","sqft","251.52","1.43","acres","5","3","6 Pyngyp Road","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/22-Wenzel-Ln-Stony-Pt-NY-10980/32399958_zpid/","","Single Family","605000","04/16/2024","2016","sqft","300.1","6534","sqft","5","3","22 Wenzel Lane","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/15-W-Clarkstown-Rd-New-City-NY-10956/53394165_zpid/","","Single Family","636550","04/16/2024","1865","sqft","341.31","1.5","acres","4","2","15 W Clarkstown Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/32-Ridge-Rd-Congers-NY-10920/53403867_zpid/","","Single Family","880000","04/16/2024","3266","sqft","269.44","0.67","acres","4","3","32 Ridge Road","Congers","10920","NY","USA"
"https://www.zillow.com/homedetails/259-Sickletown-Rd-West-Nyack-NY-10994/53415348_zpid/","","Single Family","3175000","04/16/2024","7500","sqft","423.33","1.7","acres","6","7","259 Sickletown Road","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/1-Camberra-Dr-Suffern-NY-10901/53423001_zpid/","","Single Family","1250000","04/16/2024","3405","sqft","367.11","3.81","acres","5","4","1 Camberra Drive","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/2-Finnegan-Ln-Suffern-NY-10901/53428099_zpid/","","Single Family","930000","04/16/2024","3414","sqft","272.41","1.15","acres","5","3","2 Finnegan Lane","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/19-Underwood-Rd-Monsey-NY-10952/53431929_zpid/","","Single Family","1399000","04/16/2024","2346","sqft","596.33","0.78","acres","4","3","19 Underwood Road","Monsey","10952","NY","USA"
"https://www.zillow.com/homedetails/14-Sgt-Ingram-Ct-Pearl-River-NY-10965/55529268_zpid/","","Single Family","792000","04/16/2024","2912","sqft","271.98","4356","sqft","4","3","14 Sgt Ingram Court","Pearl River","10965","NY","USA"
"https://www.zillow.com/homedetails/19-Pineview-Ave-Bardonia-NY-10954/53408744_zpid/","","Single Family","740000","04/15/2024","2801","sqft","264.19","0.46","acres","4","3","19 Pineview Avenue","Bardonia","10954","NY","USA"
"https://www.zillow.com/homedetails/10-Tena-Pl-Valley-Cottage-NY-10989/53410875_zpid/","","Single Family","685000","04/15/2024","1976","sqft","346.66","0.52","acres","4","3","10 Tena Place","Valley Cottage","10989","NY","USA"
"https://www.zillow.com/homedetails/14-E-Charles-St-Nanuet-NY-10954/53413916_zpid/","","Single Family","730000","04/15/2024","2301","sqft","317.25","7405","sqft","4","3","14 E Charles Street","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/12-Sterling-Forest-Ln-Suffern-NY-10901/53427684_zpid/","","Single Family","999000","04/15/2024","3198","sqft","312.38","0.59","acres","6","4","12 Sterling Forest Lane","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/19-Nytko-Dr-Pomona-NY-10970/32383704_zpid/","","Single Family","960000","04/12/2024","2428","sqft","395.39","0.43","acres","4","3","19 Nytko Drive","Pomona","10970","NY","USA"
"https://www.zillow.com/homedetails/215-Newport-Ave-Tappan-NY-10983/32394234_zpid/","","Single Family","655000","04/12/2024","2191","sqft","298.95","0.31","acres","4","3","215 Newport Avenue","Tappan","10983","NY","USA"
"https://www.zillow.com/homedetails/46-Hale-Pl-Tappan-NY-10983/32394261_zpid/","","Single Family","845000","04/12/2024","2784","sqft","303.52","0.32","acres","4","3","46 Hale Place","Tappan","10983","NY","USA"
"https://www.zillow.com/homedetails/73-Lester-Dr-Tappan-NY-10983/32394487_zpid/","","Single Family","620000","04/12/2024","2600","sqft","238.46","0.35","acres","4","3","73 Lester Drive","Tappan","10983","NY","USA"
"https://www.zillow.com/homedetails/506-Kings-Hwy-Sparkill-NY-10976/32394543_zpid/","","Single Family","945000","04/12/2024","2478","sqft","381.36","0.27","acres","5","3","506 Kings Highway","Sparkill","10976","NY","USA"
"https://www.zillow.com/homedetails/21-Gilmore-Dr-Stony-Pt-NY-10980/32398060_zpid/","","Single Family","805000","04/12/2024","2598","sqft","309.85","0.46","acres","5","3","21 Gilmore Drive","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/19-Chestnut-St-Stony-Pt-NY-10980/32398667_zpid/","","Single Family","430000","04/12/2024","1056","sqft","407.2","0.25","acres","3","2","19 Chestnut Street","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/1-N-Cairngorm-Rd-New-City-NY-10956/53395166_zpid/","","Single Family","1049000","04/12/2024","3380","sqft","310.36","0.76","acres","5","3","1 N Cairngorm Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/4-Crestwood-Dr-New-City-NY-10956/53396321_zpid/","","Single Family","495000","04/12/2024","1484","sqft","333.56","0.33","acres","3","2","4 Crestwood Drive","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/14-Hamilton-Ave-Sloatsburg-NY-10974/53417475_zpid/","","Single Family","535000","04/12/2024","1371","sqft","390.23","0.31","acres","3","2","14 Hamilton Avenue","Sloatsburg","10974","NY","USA"
"https://www.zillow.com/homedetails/7-Washington-Cir-Suffern-NY-10901/53420137_zpid/","","Single Family","423000","04/12/2024","1092","sqft","387.36","3920","sqft","3","1","7 Washington Circle","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/18-Jersey-Ave-Suffern-NY-10901/53420491_zpid/","","Single Family","415000","04/12/2024","1380","sqft","300.72","7405","sqft","3","2","18 Jersey Avenue","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/16-Mallory-Rd-Spring-Valley-NY-10977/53434117_zpid/","","Single Family","692500","04/12/2024","1764","sqft","392.57","0.34","acres","4","2","16 Mallory Road","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/30-Zachary-Taylor-St-Stony-Point-NY-10980/145667697_zpid/","","Single Family","1175000","04/12/2024","3626","sqft","324.05","0.83","acres","4","5","30 Zachary Taylor Street","Stony Point","10980","NY","USA"
