Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/96-College-Rd-Monsey-NY-10952/53432319_zpid/","","Single Family","910000","03/21/2024","2702","sqft","336.79","0.53","acres","4","2","96 College Rd","Monsey","10952","NY","USA"
"https://www.zillow.com/homedetails/548-Mountainview-Ave-Valley-Cottage-NY-10989/80014928_zpid/","","Single Family","678000","03/21/2024","2989","sqft","226.83","3484","sqft","3","3","548 Mountainview Ave","Valley Cottage","10989","NY","USA"
"https://www.zillow.com/homedetails/36-55-Old-Nyack-Tpke-Nanuet-NY-10954/143826407_zpid/","","Single Family","316000","03/21/2024","","","","","","","","36-55 Old Nyack Tpke","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/282-South-Broadway-Nyack-NY-10960/338736528_zpid/","","Single Family","1175000","03/21/2024","2150","sqft","546.51","0.48","acres","","","282 South Broadway","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/4-Scher-Dr-New-City-NY-10956/53393200_zpid/","","Single Family","660000","03/20/2024","2044","sqft","322.9","0.51","acres","4","2","4 Scher Drive","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/71-Ridge-Rd-New-City-NY-10956/53397384_zpid/","","Single Family","500000","03/20/2024","1311","sqft","381.39","1.86","acres","3","2","71 Ridge Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/16-Church-Rd-Suffern-NY-10901/53428861_zpid/","","Single Family","720000","03/20/2024","1847","sqft","389.82","0.41","acres","4","1.5","16 Church Rd","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/51-N-Liberty-Dr-Stony-Point-NY-10980/143889799_zpid/","","Single Family","610000","03/20/2024","1320","sqft","462.12","0.27","acres","","","51 N Liberty Dr","Stony Point","10980","NY","USA"
"https://www.zillow.com/homedetails/5-Roman-Acres-Dr-Garnerville-NY-10923/32382582_zpid/","","Single Family","575000","03/19/2024","1960","sqft","293.37","0.27","acres","4","3","5 Roman Acres Drive","Garnerville","10923","NY","USA"
"https://www.zillow.com/homedetails/14-Valley-Dr-Thiells-NY-10984/32382994_zpid/","","Single Family","925000","03/19/2024","2806","sqft","329.65","0.59","acres","4","3","14 Valley Drive","Thiells","10984","NY","USA"
"https://www.zillow.com/homedetails/2-Livingston-Pl-Nyack-NY-10960/32386700_zpid/","","Single Family","550000","03/19/2024","1056","sqft","520.83","3920","sqft","3","1","2 Livingston Place","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/229-E-Townline-Rd-West-Nyack-NY-10994/32387123_zpid/","","Single Family","600000","03/19/2024","2540","sqft","236.22","0.92","acres","4","3","229 E Townline Road","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/21-Bender-Rd-New-City-NY-10956/53399660_zpid/","","Single Family","742000","03/19/2024","1913","sqft","387.87","0.34","acres","4","3","21 Bender Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/74-Medway-Ave-Congers-NY-10920/53403770_zpid/","","Single Family","680000","03/19/2024","2380","sqft","285.71","10019","sqft","5","3","74 Medway Avenue","Congers","10920","NY","USA"
"https://www.zillow.com/homedetails/24-Chestnut-Ave-Hillburn-NY-10931/53416769_zpid/","","Single Family","320000","03/19/2024","977","sqft","327.53","7405","sqft","3","2","24 Chestnut Avenue","Hillburn","10931","NY","USA"
"https://www.zillow.com/homedetails/6-Wood-Ln-Suffern-NY-10901/53422217_zpid/","","Single Family","885000","03/19/2024","2362","sqft","374.68","0.8","acres","5","3","6 Wood Lane","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/30-Fessler-Dr-Spring-Valley-NY-10977/53424390_zpid/","","Single Family","990000","03/19/2024","2144","sqft","461.75","0.94","acres","4","4","30 Fessler Dr","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/109-Scotland-Hill-Rd-Chestnut-Ridge-NY-10977/53425585_zpid/","","Single Family","735000","03/19/2024","2970","sqft","247.47","0.65","acres","5","3","109 Scotland Hill Road","Chestnut Ridge","10977","NY","USA"
"https://www.zillow.com/homedetails/32-Mariner-Way-Monsey-NY-10952/53431325_zpid/","","Single Family","1300000","03/19/2024","3208","sqft","405.24","0.35","acres","6","3","32 Mariner Way","Monsey","10952","NY","USA"
"https://www.zillow.com/homedetails/26-Carriage-Ln-Spring-Valley-NY-10977/53432965_zpid/","","Single Family","785000","03/19/2024","2040","sqft","384.8","0.27","acres","4","2","26 Carriage Ln","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/18-Tioken-Rd-Spring-Valley-NY-10977/53433072_zpid/","","Single Family","895000","03/19/2024","2430","sqft","368.31","0.39","acres","4","4","18 Tioken Rd","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/2-Pine-Dr-Thiells-NY-10984/32382465_zpid/","","Single Family","550000","03/18/2024","1924","sqft","285.86","0.28","acres","4","3","2 Pine Drive","Thiells","10984","NY","USA"
"https://www.zillow.com/homedetails/30-Terrace-Dr-Nyack-NY-10960/32386487_zpid/","","Single Family","700000","03/18/2024","2040","sqft","343.14","0.33","acres","5","3","30 Terrace Dr","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/226-Sickletown-Rd-West-Nyack-NY-10994/53415331_zpid/","","Single Family","2800000","03/18/2024","6690","sqft","418.54","2.69","acres","6","6.5","226 Sickletown Rd","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/11-Sunderland-Pl-Suffern-NY-10901/53421511_zpid/","","Single Family","740000","03/18/2024","2584","sqft","286.38","0.53","acres","4","3","11 Sunderland Place","Suffern","10901","NY","USA"
