Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/15-Milford-Ln-APT-7205-Suffern-NY-10901/2056629907_zpid/","","Single Family","175000","03/13/2024","","","","","","","","15 Milford Ln APT 7205","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/8-Tulip-Tree-Dr-Garnerville-NY-10923/32384218_zpid/","","Single Family","519400","03/12/2024","1464","sqft","354.78","9583","sqft","4","1","8 Tulip Tree Dr","Garnerville","10923","NY","USA"
"https://www.zillow.com/homedetails/17-Lester-Dr-Orangeburg-NY-10962/32393791_zpid/","","Single Family","700000","03/12/2024","1845","sqft","379.4","8276","sqft","4","3","17 Lester Drive","Orangeburg","10962","NY","USA"
"https://www.zillow.com/homedetails/22-John-F-Kennedy-Dr-Stony-Pt-NY-10980/32398256_zpid/","","Single Family","630000","03/12/2024","1944","sqft","324.07","0.34","acres","4","3","22 John F Kennedy Drive","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/1-Scotford-St-Spring-Valley-NY-10977/53423841_zpid/","","Single Family","800000","03/12/2024","1777","sqft","450.2","0.56","acres","4","2","1 Scotford St","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/73-Campbell-Ave-Airmont-NY-10901/53428528_zpid/","","Single Family","560000","03/12/2024","2189","sqft","255.82","0.71","acres","5","2","73 Campbell Ave","Airmont","10901","NY","USA"
"https://www.zillow.com/homedetails/9-Echo-Ridge-Rd-Airmont-NY-10952/53430290_zpid/","","Single Family","835000","03/12/2024","1673","sqft","499.1","0.6","acres","3","2","9 Echo Ridge Road","Airmont","10952","NY","USA"
"https://www.zillow.com/homedetails/64-Tamarack-Ln-Pomona-NY-10970/32381936_zpid/","","Single Family","695000","03/11/2024","2585","sqft","268.86","0.57","acres","4","4","64 Tamarack Lane","Pomona","10970","NY","USA"
"https://www.zillow.com/homedetails/167-Prospect-Pl-Pearl-River-NY-10965/32389029_zpid/","","Single Family","640000","03/11/2024","1926","sqft","332.29","9583","sqft","3","3","167 Prospect Place","Pearl River","10965","NY","USA"
"https://www.zillow.com/homedetails/25-Liberty-Rd-Tappan-NY-10983/32394845_zpid/","","Single Family","480000","03/11/2024","2422","sqft","198.18","0.34","acres","4","3","25 Liberty Road","Tappan","10983","NY","USA"
"https://www.zillow.com/homedetails/17-Jay-St-Spring-Valley-NY-10977/53419695_zpid/","","Single Family","500000","03/11/2024","1322","sqft","378.21","10019","sqft","4","2","17 Jay Street","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/5-Birch-St-Airmont-NY-10952/53429685_zpid/","","Single Family","399000","03/11/2024","1418","sqft","281.38","0.27","acres","3","1","5 Birch St","Airmont","10952","NY","USA"
"https://www.zillow.com/homedetails/2-Harmony-Rd-Spring-Valley-NY-10977/53433175_zpid/","","Single Family","700000","03/11/2024","2602","sqft","269.02","0.28","acres","4","3","2 Harmony Rd","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/14-Stewart-Pl-Spring-Valley-NY-10977/53433351_zpid/","","Single Family","652000","03/11/2024","1693","sqft","385.12","0.26","acres","3","2","14 Stewart Place","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/209-Jewett-Rd-Nyack-NY-10960/102089026_zpid/","","Single Family","1150000","03/11/2024","3235","sqft","355.49","0.43","acres","5","3","209 Jewett Road","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/15-Christie-Dr-New-City-NY-10956/53392930_zpid/","","Single Family","775000","03/08/2024","2452","sqft","316.07","0.72","acres","6","3","15 Christie Drive","New City","10956","NY","USA"
